,id,ci,ii,name,cccc,cc,iso_cc,lat,lon,elev,info,vtime,mtime,changed_id,changes,ue,si_id,eoi,loc,type,HG,PM10,PM2_5,SO2,NO,NO2,NOx,CO,BEN,H2S,O3,coord,x,y,lat_lon
0,78001,78,11813,"BRATISLAVA, JESENIOVA",,SK,703,48.167952,17.106209,283.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78001,SK0048A,S,B,0,1,1,1,1,1,1,0,0,0,1,"(21, 92)",21,92,"(48.152134, 17.130432)"
1,78002,78,11916,"CHOPOK, EMEP",,SK,703,48.94362,19.589236,1958.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78002,SK0002R,R,B,0,0,0,0,1,1,1,0,0,0,1,"(40, 130)",40,130,"(48.928993, 19.58075)"
2,78003,78,11952,"GANOVCE, METEO. ST.",,SK,703,49.034601,20.322844,682.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78003,SK0041A,R,B,0,0,0,0,1,1,1,0,0,0,1,"(43, 141)",43,141,"(49.038628, 20.296814)"
3,78004,78,11958,KOJSOVSKA HOLA,,SK,703,48.782875,20.987112,1230.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78004,SK0042A,R,B,0,0,0,0,1,1,1,0,0,0,1,"(37, 152)",37,152,"(48.76358, 20.986572)"
4,78005,78,99111,"BRATISLAVA, MAMATEYOVA",,SK,703,48.124692,17.1254,134.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78005,SK0001A,U,B,0,1,1,1,1,1,1,0,0,1,1,"(20, 92)",20,92,"(48.10979, 17.13034)"
5,78006,78,99112,"BRATISLAVA, TRNAVSKE MYTO",,SK,703,48.158359,17.128891,140.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78006,SK0002A,U,T,0,1,1,0,1,1,1,1,1,0,0,"(21, 92)",21,92,"(48.152134, 17.130432)"
6,78007,78,99114,"BRATISLAVA, KAMENNE NAM.",,SK,703,48.14467,17.113543,146.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78007,SK0004A,U,B,0,1,1,0,0,0,0,0,0,0,0,"(21, 92)",21,92,"(48.152134, 17.130432)"
7,78008,78,99122,"SENICA, HVIEZDOSLAVOVA",,SK,703,48.680681,17.36311,207.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78008,SK0021A,U,T,0,1,1,1,0,0,0,0,0,0,0,"(33, 96)",33,96,"(48.659653, 17.388062)"
8,78009,78,99123,"TRNAVA, KOLLAROVA",,SK,703,48.371385,17.584926,144.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78009,SK0045A,U,T,0,1,1,0,1,1,1,1,1,0,0,"(26, 99)",26,99,"(48.36253, 17.577057)"
9,78038,78,99126,TRNOVEC NAD VAHOM,,SK,703,48.15,17.9286,114.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78038,NoCode-99126,S,B,0,0,0,0,0,0,0,0,0,0,0,"(21, 105)",21,105,"(48.14837, 17.955536)"
10,78010,78,99128,"TRENCIN, HASICSKA",,SK,703,48.896419,18.04124,216.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78010,SK0047A,U,T,0,1,1,1,1,1,1,1,1,0,0,"(39, 106)",39,106,"(48.90982, 18.033905)"
11,78039,78,99130,"OSLANY, SE NOVAKY",,SK,703,48.6333,18.47,228.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78039,NoCode-99130,S,B,0,0,0,0,0,0,0,0,0,0,0,"(33, 113)",33,113,"(48.65119, 18.477386)"
12,78000,78,99132,"MALACKY, MIEROVE NAMESTIE",,SK,703,48.436843,17.019052,165.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78000,SK0407A,U,T,0,1,1,1,1,1,1,1,1,0,0,"(28, 90)",28,90,"(48.448605, 17.00351)"
